wav_id,발화문,상황,1번 감정,1번 감정세기,2번 감정,2번 감정세기,3번 감정,3번 감정세기,4번 감정,4번감정세기,5번 감정,5번 감정세기,나이,성별
5e258fd1305bcf3ad153a6a4,"어, 청소 니가 대신 해 줘!",anger,Neutral,0,Angry,1,Neutral,0,Neutral,0,Angry,1,27,male
5e258fe2305bcf3ad153a6a5,둘 다 청소 하기 싫어. 귀찮아.,anger,Neutral,0,Angry,1,Neutral,0,Neutral,0,Angry,1,27,male
5e258ff5305bcf3ad153a6a6,둘 다 하기 싫어서 화내.,anger,Angry,1,Angry,1,Neutral,0,Angry,1,Angry,1,27,male
5e25902f305bcf3ad153a6a9,그럼 방세는 어떡해.,anger,Sadness,1,Sadness,1,Sadness,1,Sadness,1,Sadness,1,27,male
5e27f90b5807b852d9e0157b,권태긴줄 알았는데 다른 사람이 생겼나보더라고.,sad,Sadness,1,Sadness,1,Sadness,1,Sadness,2,Sadness,1,32,male
5e27fa1c5807b852d9e01586,그냥 걷고 있어.,sad,Neutral,0,Neutral,0,Neutral,0,Sadness,2,Neutral,0,32,male
5e27fb575807b852d9e01595,어. 고등학교 동창인데 이렇게 더럽게 쓸줄 몰랐어.,anger,Disgust,2,Disgust,1,Angry,1,Disgust,2,Angry,1,32,male
5e2840225807b852d9e01618,처음 학원에서 만났다가 서로 좋아해서 사귀게 되었지.,sad,Neutral,0,Neutral,0,Happiness,1,Neutral,0,Neutral,0,28,male
5e2840415807b852d9e01619,내가 애정 표현을 잘 못해서 자주 싸우긴 했어.,sad,Neutral,0,Sadness,1,Sadness,1,Sadness,1,Sadness,2,28,male
5e28405b5807b852d9e0161a,오늘 헤어졌어.,sad,Sadness,1,Neutral,0,Sadness,1,Sadness,1,Sadness,1,28,male
5e2841675807b852d9e0161e,룸메이트와 너무 자주 싸우게 돼.,anger,Sadness,1,Neutral,0,Sadness,1,Sadness,1,Sadness,1,28,male
5e2841be5807b852d9e01622,그러고 싶은데 보증금 때문에 그럴 수가 없어.,anger,Sadness,1,Neutral,0,Sadness,1,Sadness,1,Sadness,1,28,male
5e2842de5807b852d9e0162b,이 회사가 이번 시즌 마지막 회사였어.,sad,Sadness,1,Neutral,0,Sadness,1,Neutral,0,Sadness,1,28,male
5e2843095807b852d9e0162e,부모님한테 아직 말 안했는데 말하기가 두려워.,sad,Neutral,0,Sadness,1,Sadness,1,Fear,1,Sadness,2,28,male
5e2843255807b852d9e0162f,아니. 입맛도 없어.,sad,Sadness,1,Sadness,1,Sadness,1,Sadness,1,Sadness,1,28,male
5e28447c5807b852d9e0163a,응. 혼 났지.,sad,Angry,1,Neutral,0,Sadness,1,Sadness,1,Neutral,0,28,male
